major,mid,sub,code,label_en,description,question,Example sentences
Lexico-Grammar,Noun,Dependent Preposition,XNPR,Noun dependent preposition,Used for errors in choosing the preposition that depends on a specific noun.,이 명사 뒤 전치사(of/in/on 등)가 맞나요?,It’s **time for** breakfast. | I have no **ideas for** the school festival. | It’s a **book about** stars.
Lexico-Grammar,Noun,Uncountable/Countable,XNUC,Countable/uncountable,"Indicates countability errors, such as using a/an with an uncountable noun or adding a plural ending to it.","이 명사는 셀 수 있나요? a/an, -s가 필요한가요?",I want **some water**. | I want **some milk**. | I like **apples**.
Lexico-Grammar,Preposition,Complementation,XPRCO,Prep complementation,"Indicates errors in prepositional complement structure, such as using the wrong form after a preposition.",이 전치사 뒤에 오는 말(명사/~ing 등)이 맞나요?,Thanks **for helping** me. | Thanks **for joining** Willy’s quiz show. | How **about riding** the bikes together? |  I’m good **at playing** soccer. | I’m interested **in baking**.
Lexico-Grammar,Verb,Complementation,XVCO,Verb complementation,"Indicates errors in verb complement structure, such as using the wrong infinitive or gerund pattern required by a verb.",이 동사 뒤에 오는 말(to/~ing/that 등)이 맞나요?,I **want to** be a pilot. | **I’m going to** bake cookies. | I **like making** robots. | I’ll **go fishing** with my dad. 
Lexico-Grammar,Verb,Dependent Preposition,XVPR,Verb dependent preposition,"Used for errors in choosing the preposition that depends on a specific verb, including omission or unnecessary addition of a preposition.",이 동사 뒤 전치사(to/on/for 등)가 맞나요?,I'm **listening to** music. | **Look at** this picture. | I **learned about** trees.
Lexis,Conjunction,Coordinating,LCC,Conjunction: Coordinating,"This is a lexical connector error involving the incorrect choice, unnecessary use, or omission of a coordinating conjunction such as and, but, or, or nor.",and/but/or 중 어떤 게 뜻에 맞나요?,"I like fruit salad **and** pizza. | Science is fun, **but** it’s not my favorite. | He likes bulgogi **and** tteokbokki. | Art, music, English, **and** science. | I will play **and** plant trees with my friends."
Lexis,"Connector, Logical",Complex,LCLC,Logical connector: Complex,"This is a lexical connector error involving a multi-word phrasal connector, such as using On other side instead of On the other hand.",on the other hand/in addition 같은 표현이 뜻에 맞나요?,
Lexis,"Connector, Logical",Single,LCLS,Logical connector: Single,"This is a lexical connector error involving a one-word conjunctive adverb used to express a logical relation between sentences, such as misusing however, therefore, moreover, or so.",however/therefore 같은 말이 뜻에 맞나요?,"Science is fun, **but** it’s not my favorite | **Also**, we can see colorful trees. | **Then**, I go home at two o’clock. | **So**, I’m helping Rosetta. "
Lexis,Conjunction,Subordinating,LCS,Conjunction: Subordinating,"This is a lexical connector error involving the incorrect choice, misuse, or omission of a subordinating conjunction such as because, although, if, or that.",because/when/if 같은 말이 필요한가요?,I like spring **because** I can see the beautiful flowers. | I’m angry **because** my brother broke my robot. | I’m worried **because** I have a math quiz. | I’m very happy **because** I’m going to see a soccer game.
Lexis,Lexical Phrase,,LP,Lexical phrase,"This is a lexical error involving a fixed word combination, such as an idiom, multi-word unit, or phrasal verb, where the meaning or form of the whole expression is incorrect.",이 표현이 영어에서 자주 쓰이는 말인가요? 더 자연스러운 말이 있나요?,
Lexis,Lexical Single,Adjective,LSADJ,Lexical single: Adjective,This is a single-word lexical error involving the incorrect choice of an adjective or an inappropriate collocation in context.,이 말(형용사)이 뜻에 맞나요?,
Lexis,Lexical Single,Adverb,LSADV,Lexical single: Adverb,This is a single-word lexical error involving the incorrect choice or conceptual use of an adverb in context.,이 말(부사)이 뜻에 맞나요?,
Lexis,Lexical Single,Noun,LSN,Lexical single: Noun,This is a single-word lexical error involving the incorrect conceptual choice of a noun or the use of an inappropriate noun in context.,이 말(명사)이 뜻에 맞나요?,
Lexis,Lexical Single,Preposition,LSPR,Lexical single: Preposition,"This is a single-word lexical error involving the incorrect choice of an independent preposition, such as one used for time or place.",이 말(전치사)이 관계(장소/시간/방향)에 맞나요?,
Lexis,Lexical Single,Verb,LSV,Lexical single: Verb,This is a single-word lexical error involving the incorrect semantic choice of a verb or the use of an unnatural verb combination.,이 말(동사)이 뜻에 맞나요?,
Punctuation,,Confusion,QC,Punctuation: Confusion,"Indicates confusion between punctuation marks, such as using a period where a comma is needed or using a comma where a period is needed.","여기에 . , ? ! 중 어떤 게 맞나요?",
Punctuation,,Lexical,QL,Punctuation: Lexical,"Indicates the use of a lexical item, usually a coordinating conjunction, where punctuation is needed, or the use of punctuation where a lexical item is needed.","여기서는 쉼표/마침표를 써야 하나요, 아니면 and 같은 말을 써야 하나요?",
Punctuation,,Missing,QM,Punctuation: Missing,"Indicates the omission of punctuation required by the context, such as a missing comma.",여기에 구두점이 빠졌나요?,
Punctuation,,Redundant,QR,Punctuation: Redundant,Indicates the unnecessary use of punctuation.,여기 구두점이 너무 많나요?,
Word,,Missing,WM,Word missing,Indicates that a word has been omitted when no more specific grammatical tag applies.,빠진 말이 있나요?,
Word,,Order,WO,Word order,"Indicates incorrect word order required by sentence structure, including question inversion, excluding errors involving only the position of an adjective or adverb.",단어 순서가 자연스럽나요?,"**Where** is my phone? | **How** old are you? | **Don’t** run, please."
Word,,Redundant,WR,Word redundant,Indicates that one or more unnecessary words are included.,불필요한 단어가 있나요? 빼도 뜻이 같나요?,
Infelicities,,,Z,Infelicities,"Indicates an expression that is not clearly wrong but is awkward or inappropriate in style, register, or usage.","틀린 건 아니어도, 이 말이 자연스럽나요? 더 흔한 말이 있나요?",
Korean,,,KO,Korean Word,Indicates an error in Korean script.,이 단어를 뜻하는 영어 단어는 무엇일까요?,
